emp_id,emp_code,first_name,last_name,dept,basic_salary,dob,email,date_joined,status
70,EMP0070,Employee70,Surname70,Finance,65000,1987-05-01,emp70@payrollwise.in,2018-05-01,Active
71,EMP0071,Employee71,Surname71,Sales,65000,1986-12-01,emp71@payrollwise.in,2017-11-01,Active
72,EMP0072,Employee72,Surname72,HR,65000,1986-09-01,emp72@payrollwise.in,2017-10-01,Active
73,EMP0073,Employee73,Surname73,Ops,45000,1987-06-01,emp73@payrollwise.in,2016-04-01,Active
74,EMP0074,Employee74,Surname74,Finance,45000,1983-04-01,emp74@payrollwise.in,2019-06-01,Active
75,EMP0075,Employee75,Surname75,IT,65000,1980-07-01,emp75@payrollwise.in,2018-06-01,Active
76,EMP0076,Employee76,Surname76,HR,25000,1988-12-01,emp76@payrollwise.in,2015-05-01,Active
77,EMP0077,Employee77,Surname77,Sales,25000,1987-07-01,emp77@payrollwise.in,2018-10-01,Active
78,EMP0078,Employee78,Surname78,HR,130000,1980-01-01,emp78@payrollwise.in,2015-01-01,Active
79,EMP0079,Employee79,Surname79,Finance,35000,1985-11-01,emp79@payrollwise.in,2015-02-01,Active
80,EMP0080,Employee80,Surname80,Sales,130000,1981-06-01,emp80@payrollwise.in,2016-07-01,Active
81,EMP0081,Employee81,Surname81,IT,130000,1988-11-01,emp81@payrollwise.in,2016-03-01,Active
82,EMP0082,Employee82,Surname82,HR,130000,1984-07-01,emp82@payrollwise.in,2019-05-01,Active
83,EMP0083,Employee83,Surname83,IT,25000,1989-04-01,emp83@payrollwise.in,2016-11-01,Active
84,EMP0084,Employee84,Surname84,Sales,25000,1988-12-01,emp84@payrollwise.in,2019-12-01,Active
85,EMP0085,Employee85,Surname85,Ops,65000,1980-11-01,emp85@payrollwise.in,2017-01-01,Active
86,EMP0086,Employee86,Surname86,IT,35000,1981-12-01,emp86@payrollwise.in,2019-07-01,Active
87,EMP0087,Employee87,Surname87,HR,65000,1985-02-01,emp87@payrollwise.in,2017-11-01,Active
88,EMP0088,Employee88,Surname88,IT,25000,1980-10-01,emp88@payrollwise.in,2019-07-01,Active
89,EMP0089,Employee89,Surname89,Ops,65000,1984-04-01,emp89@payrollwise.in,2017-06-01,Active
90,EMP0090,Employee90,Surname90,IT,90000,1987-09-01,emp90@payrollwise.in,2018-09-01,Active
91,EMP0091,Employee91,Surname91,Sales,35000,1989-03-01,emp91@payrollwise.in,2019-04-01,Active
92,EMP0092,Employee92,Surname92,HR,35000,1982-12-01,emp92@payrollwise.in,2019-09-01,Active
93,EMP0093,Employee93,Surname93,IT,90000,1987-02-01,emp93@payrollwise.in,2016-05-01,Active
94,EMP0094,Employee94,Surname94,Finance,130000,1981-02-01,emp94@payrollwise.in,2015-07-01,Active
95,EMP0095,Employee95,Surname95,Ops,35000,1984-10-01,emp95@payrollwise.in,2019-04-01,Active
96,EMP0096,Employee96,Surname96,Sales,25000,1986-04-01,emp96@payrollwise.in,2015-10-01,Active
97,EMP0097,Employee97,Surname97,HR,65000,1986-08-01,emp97@payrollwise.in,2019-02-01,Active
98,EMP0098,Employee98,Surname98,Ops,25000,1985-11-01,emp98@payrollwise.in,2019-06-01,Active
99,EMP0099,Employee99,Surname99,Sales,130000,1985-08-01,emp99@payrollwise.in,2017-02-01,Active
100,EMP0100,Employee100,Surname100,Finance,45000,1986-04-01,emp100@payrollwise.in,2017-05-01,Active
101,EMP0101,Employee101,Surname101,Finance,25000,1989-01-01,emp101@payrollwise.in,2016-12-01,Active
102,EMP0102,Employee102,Surname102,Ops,45000,1986-03-01,emp102@payrollwise.in,2018-11-01,Active
103,EMP0103,Employee103,Surname103,Ops,35000,1981-04-01,emp103@payrollwise.in,2017-11-01,Active
104,EMP0104,Employee104,Surname104,Sales,130000,1989-09-01,emp104@payrollwise.in,2018-10-01,Active
105,EMP0105,Employee105,Surname105,Ops,45000,1982-02-01,emp105@payrollwise.in,2016-08-01,Active
106,EMP0106,Employee106,Surname106,Ops,65000,1987-08-01,emp106@payrollwise.in,2019-02-01,Active
107,EMP0107,Employee107,Surname107,HR,130000,1980-01-01,emp107@payrollwise.in,2019-02-01,Active
108,EMP0108,Employee108,Surname108,Sales,35000,1983-05-01,emp108@payrollwise.in,2019-04-01,Active
109,EMP0109,Employee109,Surname109,HR,45000,1982-07-01,emp109@payrollwise.in,2018-03-01,Active
110,EMP0110,Employee110,Surname110,Sales,25000,1986-03-01,emp110@payrollwise.in,2019-04-01,Active
111,EMP0111,Employee111,Surname111,Finance,35000,1989-10-01,emp111@payrollwise.in,2018-05-01,Active
112,EMP0112,Employee112,Surname112,HR,130000,1983-02-01,emp112@payrollwise.in,2016-03-01,Active
113,EMP0113,Employee113,Surname113,HR,90000,1980-04-01,emp113@payrollwise.in,2017-05-01,Active
114,EMP0114,Employee114,Surname114,Finance,35000,1980-10-01,emp114@payrollwise.in,2015-02-01,Active
115,EMP0115,Employee115,Surname115,IT,65000,1986-09-01,emp115@payrollwise.in,2017-05-01,Active
116,EMP0116,Employee116,Surname116,IT,65000,1983-06-01,emp116@payrollwise.in,2017-11-01,Active
117,EMP0117,Employee117,Surname117,IT,25000,1984-03-01,emp117@payrollwise.in,2017-06-01,Active
118,EMP0118,Employee118,Surname118,IT,90000,1981-09-01,emp118@payrollwise.in,2017-06-01,Active
119,EMP0119,Employee119,Surname119,Ops,90000,1988-05-01,emp119@payrollwise.in,2015-02-01,Active
120,EMP0120,Employee120,Surname120,Sales,130000,1982-10-01,emp120@payrollwise.in,2015-05-01,Active
121,EMP0121,Employee121,Surname121,IT,35000,1985-01-01,emp121@payrollwise.in,2015-11-01,Active
122,EMP0122,Employee122,Surname122,Sales,130000,1982-05-01,emp122@payrollwise.in,2018-09-01,Active
123,EMP0123,Employee123,Surname123,Finance,90000,1989-07-01,emp123@payrollwise.in,2019-09-01,Active
124,EMP0124,Employee124,Surname124,Sales,65000,1984-08-01,emp124@payrollwise.in,2016-08-01,Active
125,EMP0125,Employee125,Surname125,HR,90000,1986-04-01,emp125@payrollwise.in,2019-12-01,Active
126,EMP0126,Employee126,Surname126,HR,65000,1989-01-01,emp126@payrollwise.in,2018-05-01,Active
127,EMP0127,Employee127,Surname127,Ops,90000,1980-05-01,emp127@payrollwise.in,2015-08-01,Active
128,EMP0128,Employee128,Surname128,Finance,65000,1988-03-01,emp128@payrollwise.in,2015-10-01,Active
129,EMP0129,Employee129,Surname129,IT,90000,1986-11-01,emp129@payrollwise.in,2017-01-01,Active
130,EMP0130,Employee130,Surname130,IT,90000,1980-10-01,emp130@payrollwise.in,2018-01-01,Active
131,EMP0131,Employee131,Surname131,Ops,35000,1988-04-01,emp131@payrollwise.in,2018-06-01,Active
132,EMP0132,Employee132,Surname132,HR,25000,1980-09-01,emp132@payrollwise.in,2018-05-01,Active
133,EMP0133,Employee133,Surname133,Ops,35000,1985-12-01,emp133@payrollwise.in,2016-07-01,Active
134,EMP0134,Employee134,Surname134,Sales,65000,1989-11-01,emp134@payrollwise.in,2018-12-01,Active
135,EMP0135,Employee135,Surname135,HR,45000,1988-08-01,emp135@payrollwise.in,2015-07-01,Active
136,EMP0136,Employee136,Surname136,Ops,45000,1983-06-01,emp136@payrollwise.in,2015-05-01,Active
137,EMP0137,Employee137,Surname137,Finance,130000,1987-08-01,emp137@payrollwise.in,2017-10-01,Active
138,EMP0138,Employee138,Surname138,Finance,130000,1980-11-01,emp138@payrollwise.in,2016-04-01,Active
139,EMP0139,Employee139,Surname139,HR,35000,1982-06-01,emp139@payrollwise.in,2016-11-01,Active
140,EMP0140,Employee140,Surname140,Finance,90000,1982-05-01,emp140@payrollwise.in,2019-11-01,Active
141,EMP0141,Employee141,Surname141,Ops,130000,1989-02-01,emp141@payrollwise.in,2015-08-01,Active
142,EMP0142,Employee142,Surname142,Finance,130000,1989-09-01,emp142@payrollwise.in,2017-02-01,Active
143,EMP0143,Employee143,Surname143,Finance,25000,1984-10-01,emp143@payrollwise.in,2017-12-01,Active
144,EMP0144,Employee144,Surname144,Ops,130000,1987-11-01,emp144@payrollwise.in,2018-12-01,Active
145,EMP0145,Employee145,Surname145,Ops,130000,1981-11-01,emp145@payrollwise.in,2017-05-01,Active
146,EMP0146,Employee146,Surname146,Finance,130000,1985-08-01,emp146@payrollwise.in,2018-08-01,Active
147,EMP0147,Employee147,Surname147,IT,90000,1980-02-01,emp147@payrollwise.in,2018-12-01,Active
148,EMP0148,Employee148,Surname148,Ops,65000,1988-06-01,emp148@payrollwise.in,2017-12-01,Active
149,EMP0149,Employee149,Surname149,HR,65000,1989-07-01,emp149@payrollwise.in,2015-06-01,Active
150,EMP0150,Employee150,Surname150,Ops,25000,1987-11-01,emp150@payrollwise.in,2015-09-01,Active
151,EMP0151,Employee151,Surname151,HR,35000,1987-06-01,emp151@payrollwise.in,2019-02-01,Active
152,EMP0152,Employee152,Surname152,IT,25000,1980-12-01,emp152@payrollwise.in,2017-02-01,Active
153,EMP0153,Employee153,Surname153,HR,65000,1981-03-01,emp153@payrollwise.in,2018-05-01,Active
154,EMP0154,Employee154,Surname154,Sales,90000,1984-08-01,emp154@payrollwise.in,2017-02-01,Active
155,EMP0155,Employee155,Surname155,IT,65000,1982-01-01,emp155@payrollwise.in,2015-11-01,Active
156,EMP0156,Employee156,Surname156,IT,90000,1987-10-01,emp156@payrollwise.in,2016-11-01,Active
157,EMP0157,Employee157,Surname157,IT,90000,1988-08-01,emp157@payrollwise.in,2019-10-01,Active
158,EMP0158,Employee158,Surname158,HR,45000,1989-10-01,emp158@payrollwise.in,2019-01-01,Active
159,EMP0159,Employee159,Surname159,Sales,25000,1987-12-01,emp159@payrollwise.in,2015-02-01,Active
160,EMP0160,Employee160,Surname160,Finance,35000,1984-08-01,emp160@payrollwise.in,2016-05-01,Active
161,EMP0161,Employee161,Surname161,Sales,45000,1988-07-01,emp161@payrollwise.in,2018-12-01,Active
162,EMP0162,Employee162,Surname162,Ops,35000,1982-03-01,emp162@payrollwise.in,2017-12-01,Active
163,EMP0163,Employee163,Surname163,Ops,130000,1987-12-01,emp163@payrollwise.in,2018-06-01,Active
164,EMP0164,Employee164,Surname164,HR,35000,1985-04-01,emp164@payrollwise.in,2019-01-01,Active
165,EMP0165,Employee165,Surname165,Sales,35000,1985-09-01,emp165@payrollwise.in,2018-11-01,Active
166,EMP0166,Employee166,Surname166,Sales,130000,1983-07-01,emp166@payrollwise.in,2015-09-01,Active
167,EMP0167,Employee167,Surname167,Sales,65000,1984-12-01,emp167@payrollwise.in,2018-06-01,Active
168,EMP0168,Employee168,Surname168,Finance,65000,1985-08-01,emp168@payrollwise.in,2019-11-01,Active
169,EMP0169,Employee169,Surname169,IT,45000,1989-06-01,emp169@payrollwise.in,2017-05-01,Active
170,EMP0170,Employee170,Surname170,Finance,130000,1984-03-01,emp170@payrollwise.in,2016-10-01,Active
171,EMP0171,Employee171,Surname171,HR,130000,1988-04-01,emp171@payrollwise.in,2018-05-01,Active
172,EMP0172,Employee172,Surname172,HR,35000,1988-05-01,emp172@payrollwise.in,2016-02-01,Active
173,EMP0173,Employee173,Surname173,HR,35000,1986-04-01,emp173@payrollwise.in,2019-09-01,Active
174,EMP0174,Employee174,Surname174,Sales,45000,1984-03-01,emp174@payrollwise.in,2018-11-01,Active
175,EMP0175,Employee175,Surname175,Ops,90000,1980-09-01,emp175@payrollwise.in,2016-04-01,Active
176,EMP0176,Employee176,Surname176,Sales,130000,1983-06-01,emp176@payrollwise.in,2017-12-01,Active
177,EMP0177,Employee177,Surname177,Ops,65000,1989-03-01,emp177@payrollwise.in,2016-09-01,Active
178,EMP0178,Employee178,Surname178,Finance,65000,1981-08-01,emp178@payrollwise.in,2018-09-01,Active
179,EMP0179,Employee179,Surname179,Ops,45000,1983-04-01,emp179@payrollwise.in,2018-10-01,Active
180,EMP0180,Employee180,Surname180,Ops,25000,1986-07-01,emp180@payrollwise.in,2015-10-01,Active
181,EMP0181,Employee181,Surname181,Ops,45000,1980-11-01,emp181@payrollwise.in,2016-07-01,Active
182,EMP0182,Employee182,Surname182,HR,35000,1981-03-01,emp182@payrollwise.in,2019-03-01,Active
183,EMP0183,Employee183,Surname183,IT,25000,1985-03-01,emp183@payrollwise.in,2016-09-01,Active
184,EMP0184,Employee184,Surname184,Sales,65000,1989-07-01,emp184@payrollwise.in,2015-08-01,Active
185,EMP0185,Employee185,Surname185,Finance,65000,1987-12-01,emp185@payrollwise.in,2016-12-01,Active
186,EMP0186,Employee186,Surname186,HR,25000,1985-12-01,emp186@payrollwise.in,2015-08-01,Active
187,EMP0187,Employee187,Surname187,Finance,130000,1980-09-01,emp187@payrollwise.in,2019-10-01,Active
188,EMP0188,Employee188,Surname188,IT,35000,1985-07-01,emp188@payrollwise.in,2018-08-01,Active
189,EMP0189,Employee189,Surname189,IT,90000,1982-02-01,emp189@payrollwise.in,2018-12-01,Active
190,EMP0190,Employee190,Surname190,HR,130000,1980-09-01,emp190@payrollwise.in,2018-04-01,Active
191,EMP0191,Employee191,Surname191,Finance,25000,1988-07-01,emp191@payrollwise.in,2016-10-01,Active
192,EMP0192,Employee192,Surname192,Sales,35000,1983-10-01,emp192@payrollwise.in,2019-02-01,Active
193,EMP0193,Employee193,Surname193,IT,90000,1980-04-01,emp193@payrollwise.in,2016-09-01,Active
194,EMP0194,Employee194,Surname194,HR,90000,1988-01-01,emp194@payrollwise.in,2019-09-01,Active
195,EMP0195,Employee195,Surname195,Finance,35000,1988-12-01,emp195@payrollwise.in,2018-09-01,Active
196,EMP0196,Employee196,Surname196,IT,90000,1987-03-01,emp196@payrollwise.in,2016-09-01,Active
197,EMP0197,Employee197,Surname197,HR,45000,1980-05-01,emp197@payrollwise.in,2015-04-01,Active
198,EMP0198,Employee198,Surname198,Sales,90000,1988-09-01,emp198@payrollwise.in,2018-04-01,Active
199,EMP0199,Employee199,Surname199,Ops,130000,1985-10-01,emp199@payrollwise.in,2018-07-01,Active
200,EMP0200,Employee200,Surname200,Ops,35000,1983-05-01,emp200@payrollwise.in,2017-06-01,Active
201,EMP0201,Employee201,Surname201,Ops,90000,1981-10-01,emp201@payrollwise.in,2017-02-01,Active
202,EMP0202,Employee202,Surname202,IT,35000,1985-11-01,emp202@payrollwise.in,2017-09-01,Active
203,EMP0203,Employee203,Surname203,Ops,35000,1985-10-01,emp203@payrollwise.in,2016-01-01,Active
204,EMP0204,Employee204,Surname204,Sales,65000,1982-03-01,emp204@payrollwise.in,2017-12-01,Active
205,EMP0205,Employee205,Surname205,Ops,65000,1987-12-01,emp205@payrollwise.in,2018-10-01,Active
206,EMP0206,Employee206,Surname206,IT,45000,1982-12-01,emp206@payrollwise.in,2017-04-01,Active
207,EMP0207,Employee207,Surname207,Ops,45000,1984-07-01,emp207@payrollwise.in,2016-07-01,Active
208,EMP0208,Employee208,Surname208,Finance,90000,1983-08-01,emp208@payrollwise.in,2016-11-01,Active
209,EMP0209,Employee209,Surname209,IT,45000,1983-06-01,emp209@payrollwise.in,2018-01-01,Active
210,EMP0210,Employee210,Surname210,Sales,130000,1983-07-01,emp210@payrollwise.in,2017-08-01,Active
211,EMP0211,Employee211,Surname211,Ops,90000,1988-01-01,emp211@payrollwise.in,2018-08-01,Active
212,EMP0212,Employee212,Surname212,HR,90000,1983-01-01,emp212@payrollwise.in,2019-12-01,Active
213,EMP0213,Employee213,Surname213,Ops,45000,1983-08-01,emp213@payrollwise.in,2017-07-01,Active
214,EMP0214,Employee214,Surname214,Sales,45000,1980-11-01,emp214@payrollwise.in,2019-03-01,Active
215,EMP0215,Employee215,Surname215,HR,35000,1988-09-01,emp215@payrollwise.in,2016-01-01,Active
216,EMP0216,Employee216,Surname216,Ops,35000,1982-07-01,emp216@payrollwise.in,2016-09-01,Active
217,EMP0217,Employee217,Surname217,Finance,65000,1980-02-01,emp217@payrollwise.in,2018-07-01,Active
218,EMP0218,Employee218,Surname218,Ops,90000,1984-07-01,emp218@payrollwise.in,2018-11-01,Active
219,EMP0219,Employee219,Surname219,Finance,25000,1981-05-01,emp219@payrollwise.in,2019-05-01,Active
220,EMP0220,Employee220,Surname220,Ops,25000,1984-08-01,emp220@payrollwise.in,2019-08-01,Active
221,EMP0221,Employee221,Surname221,IT,130000,1986-05-01,emp221@payrollwise.in,2015-03-01,Active
222,EMP0222,Employee222,Surname222,IT,90000,1982-11-01,emp222@payrollwise.in,2017-06-01,Active
223,EMP0223,Employee223,Surname223,Ops,130000,1983-12-01,emp223@payrollwise.in,2017-05-01,Active
224,EMP0224,Employee224,Surname224,Finance,65000,1987-12-01,emp224@payrollwise.in,2016-02-01,Active
225,EMP0225,Employee225,Surname225,Sales,45000,1982-07-01,emp225@payrollwise.in,2017-03-01,Active
226,EMP0226,Employee226,Surname226,Finance,65000,1983-06-01,emp226@payrollwise.in,2015-01-01,Active
227,EMP0227,Employee227,Surname227,Finance,25000,1987-04-01,emp227@payrollwise.in,2019-01-01,Active
228,EMP0228,Employee228,Surname228,IT,65000,1986-10-01,emp228@payrollwise.in,2019-01-01,Active
229,EMP0229,Employee229,Surname229,IT,35000,1986-12-01,emp229@payrollwise.in,2017-09-01,Active
230,EMP0230,Employee230,Surname230,HR,90000,1981-04-01,emp230@payrollwise.in,2018-12-01,Active
231,EMP0231,Employee231,Surname231,HR,65000,1984-07-01,emp231@payrollwise.in,2018-01-01,Active
232,EMP0232,Employee232,Surname232,HR,45000,1982-05-01,emp232@payrollwise.in,2016-02-01,Active
233,EMP0233,Employee233,Surname233,HR,90000,1982-09-01,emp233@payrollwise.in,2017-08-01,Active
234,EMP0234,Employee234,Surname234,Ops,130000,1982-08-01,emp234@payrollwise.in,2017-10-01,Active
235,EMP0235,Employee235,Surname235,Finance,65000,1988-10-01,emp235@payrollwise.in,2015-01-01,Active
236,EMP0236,Employee236,Surname236,HR,65000,1985-08-01,emp236@payrollwise.in,2018-03-01,Active
237,EMP0237,Employee237,Surname237,IT,45000,1988-03-01,emp237@payrollwise.in,2019-01-01,Active
238,EMP0238,Employee238,Surname238,Sales,130000,1986-12-01,emp238@payrollwise.in,2015-11-01,Active
239,EMP0239,Employee239,Surname239,IT,65000,1984-10-01,emp239@payrollwise.in,2016-06-01,Active
240,EMP0240,Employee240,Surname240,Sales,90000,1988-07-01,emp240@payrollwise.in,2019-06-01,Active
241,EMP0241,Employee241,Surname241,Finance,45000,1986-05-01,emp241@payrollwise.in,2015-01-01,Active
242,EMP0242,Employee242,Surname242,Finance,90000,1980-12-01,emp242@payrollwise.in,2015-05-01,Active
243,EMP0243,Employee243,Surname243,HR,90000,1989-11-01,emp243@payrollwise.in,2019-07-01,Active
244,EMP0244,Employee244,Surname244,Finance,90000,1981-09-01,emp244@payrollwise.in,2016-03-01,Active
245,EMP0245,Employee245,Surname245,HR,130000,1983-02-01,emp245@payrollwise.in,2019-09-01,Active
246,EMP0246,Employee246,Surname246,Finance,45000,1989-11-01,emp246@payrollwise.in,2017-06-01,Active
247,EMP0247,Employee247,Surname247,HR,130000,1988-02-01,emp247@payrollwise.in,2019-02-01,Active
248,EMP0248,Employee248,Surname248,HR,25000,1988-11-01,emp248@payrollwise.in,2017-05-01,Active
249,EMP0249,Employee249,Surname249,IT,45000,1987-04-01,emp249@payrollwise.in,2017-06-01,Active
250,EMP0250,Employee250,Surname250,Ops,25000,1985-10-01,emp250@payrollwise.in,2016-10-01,Active
251,EMP0251,Employee251,Surname251,HR,65000,1981-10-01,emp251@payrollwise.in,2015-04-01,Active
252,EMP0252,Employee252,Surname252,Sales,25000,1983-09-01,emp252@payrollwise.in,2019-12-01,Active
253,EMP0253,Employee253,Surname253,IT,90000,1986-12-01,emp253@payrollwise.in,2019-04-01,Active
254,EMP0254,Employee254,Surname254,Finance,65000,1989-11-01,emp254@payrollwise.in,2016-04-01,Active
255,EMP0255,Employee255,Surname255,Sales,35000,1986-11-01,emp255@payrollwise.in,2019-05-01,Active
256,EMP0256,Employee256,Surname256,IT,90000,1987-02-01,emp256@payrollwise.in,2016-01-01,Active
257,EMP0257,Employee257,Surname257,HR,130000,1989-03-01,emp257@payrollwise.in,2016-05-01,Active
258,EMP0258,Employee258,Surname258,IT,45000,1985-01-01,emp258@payrollwise.in,2019-06-01,Active
259,EMP0259,Employee259,Surname259,Ops,25000,1983-11-01,emp259@payrollwise.in,2019-11-01,Active
