payroll_id,period_name,month,year,emp_code,employee_name,dept_name,desig_title,days_present,days_absent,basic_salary,hra,da,transport_allow,gross_salary,pf_employee,esi_employee,professional_tax,income_tax_tds,total_deductions,net_salary,status,payment_date
81,March 2026,3,2026,EMP021,Aakash Goel,Information Technology,Junior Software Engineer,25,1,26962.96,5392.59,4044.44,800.0,37199.99,1800.0,0.0,200.0,0.0,2000.0,35199.99,Paid,2026-03-31
84,March 2026,3,2026,EMP024,Lakshmi Prasad,Information Technology,VP Engineering,26,1,462222.22,208000.0,115555.56,7000.0,792777.78,1800.0,0.0,200.0,201791.67,203791.67,588986.11,Paid,2026-03-31
69,March 2026,3,2026,EMP009,Sanjay Nair,Operations,Operations Analyst,26,0,44000.0,13200.0,7480.0,1200.0,65880.0,1800.0,0.0,200.0,585.67,2585.67,63294.33,Paid,2026-03-31
77,March 2026,3,2026,EMP017,Manoj Tiwari,Operations,Operations Manager,26,1,207037.04,91096.3,49688.89,3500.0,351322.23,1800.0,0.0,200.0,69355.0,71355.0,279967.23,Paid,2026-03-31
72,March 2026,3,2026,EMP012,Pooja Verma,Quality Assurance,QA Engineer,26,1,40444.44,12133.33,6875.56,1200.0,60653.33,1800.0,0.0,200.0,324.33,2324.33,58329.0,Paid,2026-03-31
76,March 2026,3,2026,EMP016,Swati Kulkarni,Quality Assurance,Senior QA Engineer,24,2,50925.93,17824.07,9166.67,1500.0,79416.67,1800.0,0.0,200.0,1900.0,3900.0,75516.67,Paid,2026-03-31
70,March 2026,3,2026,EMP010,Deepa Joshi,Research & Development,Research Scientist,27,0,95000.0,36100.0,19000.0,2000.0,152100.0,1800.0,0.0,200.0,12711.67,14711.67,137388.33,Paid,2026-03-31
78,March 2026,3,2026,EMP018,Anjali Bose,Research & Development,Senior Research Scientist,25,1,94370.37,35860.74,18874.07,2000.0,151105.18,1800.0,0.0,200.0,12512.7,14512.7,136592.48,Paid,2026-03-31
90,March 2026,3,2026,EMP030,Divya Mohan,Research & Development,Principal Scientist,24,2,245370.37,110416.67,61342.59,4000.0,421129.63,1800.0,0.0,200.0,90297.22,92297.22,328832.41,Paid,2026-03-31
65,March 2026,3,2026,EMP005,Vikram Singh,Sales & Marketing,Sales Executive,25,1,36592.59,10977.78,6220.74,1200.0,54991.11,1800.0,0.0,200.0,41.22,2041.22,52949.89,Paid,2026-03-31
73,March 2026,3,2026,EMP013,Kiran Rao,Sales & Marketing,Sales Manager,25,1,178148.15,74822.22,40974.07,3000.0,296944.44,1800.0,0.0,200.0,53041.67,55041.67,241902.77,Paid,2026-03-31
82,March 2026,3,2026,EMP022,Ritu Agarwal,Sales & Marketing,Senior Sales Executive,24,2,37962.96,11388.89,6453.7,1200.0,57005.55,1800.0,0.0,200.0,141.94,2141.94,54863.61,Paid,2026-03-31
