emp_id,emp_code,first_name,last_name,dept,designation,basic_salary,gender,dob,email,date_joined,status
33,EMP0033,Employee33,Surname33,IT,Engineer,83000,Male,1990-01-01,emp33@pw.in,2020-01-01,Active
34,EMP0034,Employee34,Surname34,IT,Engineer,84000,Male,1990-01-01,emp34@pw.in,2020-01-01,Active
35,EMP0035,Employee35,Surname35,IT,Engineer,85000,Male,1990-01-01,emp35@pw.in,2020-01-01,Active
36,EMP0036,Employee36,Surname36,IT,Engineer,86000,Male,1990-01-01,emp36@pw.in,2020-01-01,Active
37,EMP0037,Employee37,Surname37,IT,Engineer,87000,Male,1990-01-01,emp37@pw.in,2020-01-01,Active
38,EMP0038,Employee38,Surname38,IT,Engineer,88000,Male,1990-01-01,emp38@pw.in,2020-01-01,Active
39,EMP0039,Employee39,Surname39,IT,Engineer,89000,Male,1990-01-01,emp39@pw.in,2020-01-01,Active
40,EMP0040,Employee40,Surname40,IT,Engineer,90000,Male,1990-01-01,emp40@pw.in,2020-01-01,Active
41,EMP0041,Employee41,Surname41,IT,Engineer,91000,Male,1990-01-01,emp41@pw.in,2020-01-01,Active
42,EMP0042,Employee42,Surname42,IT,Engineer,92000,Male,1990-01-01,emp42@pw.in,2020-01-01,Active
43,EMP0043,Employee43,Surname43,IT,Engineer,93000,Male,1990-01-01,emp43@pw.in,2020-01-01,Active
44,EMP0044,Employee44,Surname44,IT,Engineer,94000,Male,1990-01-01,emp44@pw.in,2020-01-01,Active
45,EMP0045,Employee45,Surname45,IT,Engineer,95000,Male,1990-01-01,emp45@pw.in,2020-01-01,Active
46,EMP0046,Employee46,Surname46,IT,Engineer,96000,Male,1990-01-01,emp46@pw.in,2020-01-01,Active
47,EMP0047,Employee47,Surname47,IT,Engineer,97000,Male,1990-01-01,emp47@pw.in,2020-01-01,Active
48,EMP0048,Employee48,Surname48,IT,Engineer,98000,Male,1990-01-01,emp48@pw.in,2020-01-01,Active
49,EMP0049,Employee49,Surname49,IT,Engineer,99000,Male,1990-01-01,emp49@pw.in,2020-01-01,Active
50,EMP0050,Employee50,Surname50,IT,Engineer,100000,Male,1990-01-01,emp50@pw.in,2020-01-01,Active
